,Importance
August Precipitation (cm),0.01366782498359528
Corn Area (%),0.018491134365238474
Nitrogen Application Rate (kg/km²),0.020417857209461352
July Precipitation (cm),0.034434160379958854
Open Water within 100m Mainstem (%),0.037313961156035844
Mixed Forest within 800m Mainstem (%),0.03947817428041646
Std Dev Max Temperature (Basin),0.04151357107247607
Deciduous Forest within 100m Riparian (%),0.04225640370907228
Average Clay Content (%),0.060623441240473586
Mainstem Sinuosity,0.06407289894033705
Freshwater Withdrawal Rate,0.07302077972030459
Open Water within 800m Mainstem (%),0.07775373612085415
Mean Aspect Northness,0.08261110893674964
Bedrock Contact Index,0.0884093550656897
Average Baseflow Index,0.11340467020418579
