,Importance
3rd-Order Stream Percent,0.012967468261863468
Sandy Soils and Hydraulic Conductivity,0.01651064165195594
Forest Land Cover (Evergreen),0.01797092806677904
Low-Intensity Development and Road Density,0.02241450667953014
Elevation and Winter Precipitation Conditions,0.025446874607108344
"Water Bodies, Reservoirs, and Wetland Extent",0.02956302496236056
Barren Lands and Steep Slopes,0.03238654981322529
Site Elevation and Air Temperature Variability,0.032538513726853416
Urbanization and Built Environment,0.03423723311609676
Cultivated Crops and Pesticide Use,0.04158286399705698
Precipitation Patterns (Monthly & Annual),0.061376638644272195
Agricultural Land Use and Nutrient Inputs,0.06931313527650647
Deciduous Forests and Freshwater Use,0.10737185471844496
Soil Texture and Water Holding Capacity,0.11405089484683589
Baseflow Index and Aspect,0.16221255656555525
