,Importance
Percent 3rd Order Streams,0.012967468261863468
Percent Lentic Water Bodies,0.01315359034367452
September Precipitation (cm),0.014174865042541134
Open Water within 800m Mainstem (%),0.016409434618686037
Soil Erodibility Factor (K-factor),0.01651064165195594
Evergreen Forest within 800m Mainstem (%),0.01797092806677904
Impervious Surface Area (%) NLCD06,0.02241450667953014
Average Sand Content (%),0.024344165500818003
Average Clay Content (%),0.024362849494263022
June Precipitation (cm),0.025446874607108344
Mean Aspect Northness,0.03238654981322529
Mean Annual Min Temperature (Site),0.032538513726853416
Developed Low Intensity within 100m Riparian (%),0.03423723311609676
Winter Wheat Area (%),0.04158286399705698
August Precipitation (cm),0.04720177360173106
Deciduous Forest within 100m Riparian (%),0.05188048898753629
Freshwater Withdrawal Rate,0.05549136573090866
Average Soil Permeability,0.06534387985175487
Bedrock Contact Index,0.06931313527650647
Average Baseflow Index,0.16221255656555525
