DRAIN_SQKM,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,NDAMS_2009,DDENS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,MAJ_DDENS_2009,PROXIM_NEAREST_DAM,PROXIM_DIS_ALLDAMS,PROXIM_NEAREST_MAJ_DAM,PROXIM_DIS_ALL_MAJ_DAMS,CANALS_PCT,PROXIM_NEAREST_CANAL,PROXIM_DIS_ALLCANALS,CANALS_MAINSTEM_PCT,NPDES_MAJ_DENS,PROXIM_NEAREST_MAJ_NPDES,PROXIM_DIS_ALL_MAJ_NPDES,FRESHW_WITHDRAWAL,MINING92_PCT,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER,FRAGUN_BASIN,HIRES_LENTIC_NUM,HIRES_LENTIC_DENS,HIRES_LENTIC_MEANSIZ,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,MAINS100_DEV,MAINS100_FOREST,MAINS100_PLANT,MAINS100_11,MAINS100_12,MAINS100_21,MAINS100_22,MAINS100_23,MAINS100_24,MAINS100_31,MAINS100_41,MAINS100_42,MAINS100_43,MAINS100_52,MAINS100_71,MAINS100_81,MAINS100_82,MAINS100_90,MAINS100_95,MAINS800_DEV,MAINS800_FOREST,MAINS800_PLANT,MAINS800_11,MAINS800_12,MAINS800_21,MAINS800_22,MAINS800_23,MAINS800_24,MAINS800_31,MAINS800_41,MAINS800_42,MAINS800_43,MAINS800_52,MAINS800_71,MAINS800_81,MAINS800_82,MAINS800_90,MAINS800_95,RIP100_DEV,RIP100_FOREST,RIP100_PLANT,RIP100_11,RIP100_12,RIP100_21,RIP100_22,RIP100_23,RIP100_24,RIP100_31,RIP100_41,RIP100_42,RIP100_43,RIP100_52,RIP100_71,RIP100_81,RIP100_82,RIP100_90,RIP100_95,RIP800_DEV,RIP800_FOREST,RIP800_PLANT,RIP800_11,RIP800_12,RIP800_21,RIP800_22,RIP800_23,RIP800_24,RIP800_31,RIP800_41,RIP800_42,RIP800_43,RIP800_52,RIP800_71,RIP800_81,RIP800_82,RIP800_90,RIP800_95,CDL_CORN,CDL_SORGHUM,CDL_SOYBEANS,CDL_SUNFLOWERS,CDL_BARLEY,CDL_SPRING_WHEAT,CDL_WINTER_WHEAT,CDL_OATS,CDL_ALFALFA,CDL_OTHER_HAYS,CDL_DRY_BEANS,CDL_POTATOES,CDL_FALLOW_IDLE,CDL_OTHER_CROPS,CDL_ALL_OTHER_LAND,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,PDEN_2000_BLOCK,PDEN_DAY_LANDSCAN_2007,PDEN_NIGHT_LANDSCAN_2007,ROADS_KM_SQ_KM,RD_STR_INTERS,IMPNLCD06,NLCD01_06_DEV,PADCAT1_PCT_BASIN,PADCAT2_PCT_BASIN,PADCAT3_PCT_BASIN,HGA,HGB,HGAD,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_NORTHNESS,ASPECT_EASTNESS,median
71.6,13,2.85,83.12,65.08,0.77,2.2,6.92,2.292,11.2,-6.59,1.719,-6.6,54.9,53,238.9,169.1,242,163,153.4,133,16.3,8.3,13,7,360.0,62.3,0.13,7.58,6.72,8.8,10.3,8.38,4.82,6.16,6.16,4.96,4.81,7.34,6.77,-9.17,-7.99,-5.68,-1.73,3.35,8.28,11.64,10.66,6.78,1.52,-5.2,-8.43,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.43,0.9987102321582114,0.9888220120378333,0.0,0.0,0.0,0.0,30.1,0.0,0.0,0,0.0,0.63,2,1.2,0.0,0.0,0.03,63.5,0.6,0.0,9.86,4.4,48.28,22.29,0.0,0.0,0.0,0.0,29.43,8.0,10,0.14,2.2,3.46,55.36,0.0,0.0,12.43,2.75,0.6,0.12,0.0,13.09,0.41,54.95,0.0,0.0,15.27,0.0,0.0,0.39,0.0,21.53,63.39,0.0,0.0,0.46,14.29,6.14,1.1,0.0,1.08,0.0,63.39,0.0,0.0,10.17,0.0,0.0,3.37,0.0,11.43,73.49,0.0,0.0,0.8,8.92,2.1,0.41,0.0,2.33,0.11,73.39,0.0,0.0,10.94,0.0,0.0,1.01,0.0,7.85,65.15,0.0,0.0,7.57,5.29,2.1,0.46,0.0,5.54,0.37,64.78,0.0,0.0,11.82,0.0,0.0,2.06,0.0,4.83,60.76,0.0,0.0,9.5,3.84,0.83,0.16,0.0,10.82,0.57,60.19,0.0,0.0,13.56,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.4,10.4,0.0,1.57,5.49,0.98,0.9,0.44,0.7,0.0,0.0,46.67,47.82,23.66,31.34,0.0,22.89,22.11,0.0,0.07,7.34,1.46,0.6,5.33,50.19,59.57,23.5,54.03,11.54,32.12,56.34,0.11,49.9,3292.4,4068,2721,3293,290.4,2735,0.424,0.425,34.2,0.957,-0.289,-2.1366259057064694
73.8,11,2.22,78.69,58.61,0.44,1.9,6.77,2.013,11.3,-6.61,1.51,-7.2,55.8,57,236.7,172.7,236,171,155.7,123,16.5,8.5,12,7,352.9,63.7,0.12,7.05,6.48,8.26,9.49,8.03,4.79,6.14,6.08,5.01,4.5,6.83,6.17,-9.45,-8.31,-5.96,-2.04,3.09,8.02,11.4,10.44,6.58,1.24,-5.49,-8.72,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.39,0.9941960447119519,0.983018056749785,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0,0.0,0.62,3,1.19,0.36,0.88,0.03,62.5,0.9,0.0,9.5,4.3,46.15,29.71,3.75,0.0,0.0,0.0,20.39,4.3,10,0.135,2.5,1.07,63.45,0.0,0.01,13.98,0.51,0.46,0.09,0.0,7.12,0.15,63.28,0.03,0.0,14.14,0.0,0.0,0.23,0.0,6.45,80.83,0.0,0.17,4.95,1.53,4.03,0.89,0.0,0.83,0.2,80.61,0.02,0.0,4.4,0.0,0.0,2.37,0.0,3.03,82.06,0.0,0.03,7.01,1.44,1.31,0.27,0.01,2.35,0.37,81.61,0.08,0.0,5.02,0.0,0.0,0.5,0.0,2.83,81.55,0.0,0.07,7.71,0.67,1.77,0.39,0.0,1.95,0.1,81.44,0.01,0.0,4.6,0.0,0.0,1.3,0.0,1.63,74.41,0.0,0.02,10.48,0.77,0.7,0.14,0.01,4.77,0.22,74.14,0.04,0.0,8.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.0,6.7,0.0,4.43,1.31,4.31,0.67,0.48,0.32,0.0,0.0,61.88,36.16,22.73,32.86,0.0,22.97,21.44,0.0,0.08,7.24,1.46,0.59,5.36,50.39,60.23,23.91,54.65,12.0,31.87,56.13,0.12,46.73,3329.8,3934,2675,3367,278.2,2677,0.52,0.55,29.5,0.934,0.358,-8.292613693964048
5.9,9,2.49,74.6,68.83,1.51,1.6,7.11,1.356,10.0,-5.84,1.213,-5.5,54.7,57,238.4,169.3,236,172,142.9,135,14.9,7.7,14,7,376.0,62.0,0.119,6.1,5.71,7.82,9.3,7.84,4.56,6.03,5.97,4.7,4.26,6.27,5.75,-8.61,-7.48,-5.14,-1.23,3.83,8.68,12.05,11.07,7.25,2.04,-4.75,-7.91,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0,0.0,0.52,1,1.07,0.0,0.0,0.0,62.2,1.0,0.0,8.48,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0,0.0,0.0,0.0,90.1,0.0,0.0,6.54,0.0,0.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,99.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.18,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,96.51,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,96.51,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,99.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.18,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,96.51,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,96.51,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,0.5,0.0,0.0,0.0,0.0,2.09,0.33,0.19,0.0,0.0,21.3,78.7,15.0,40.0,0.0,20.0,25.0,0.0,0.07,5.11,1.52,0.19,5.63,51.25,65.23,24.74,59.73,10.61,30.8,58.59,0.13,40.91,3237.8,3635,2872,3224,178.8,2876,0.479,0.461,22.8,0.723,0.691,-13.941990771258954
85.3,9,2.93,73.33,61.31,0.75,1.5,7.08,1.786,10.6,-6.38,1.344,-6.9,55.1,54,237.0,175.5,238,172,144.4,139,15.0,8.0,14,8,358.3,62.8,0.116,6.24,5.77,7.61,8.89,7.71,4.55,6.07,5.8,4.73,4.29,6.04,5.55,-9.22,-8.01,-5.64,-1.65,3.49,8.35,11.69,10.69,6.89,1.57,-5.16,-8.49,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.6,0.9967755803955288,0.9946259673258814,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0,0.0,0.59,3,1.08,0.36,0.0,0.04,63.4,0.8,0.0,9.57,3.7,69.49,19.64,0.27,0.0,0.0,0.0,10.6,2.6,6,0.07,5.5,0.11,73.34,0.0,0.01,13.94,0.11,0.0,0.0,0.0,6.24,0.03,73.3,0.0,0.0,6.19,0.0,0.0,0.17,0.0,0.7,95.03,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,95.03,0.0,0.0,1.59,0.0,0.0,2.69,0.0,0.26,97.52,0.0,0.0,0.44,0.26,0.0,0.0,0.0,0.37,0.08,97.44,0.0,0.0,0.84,0.0,0.0,0.57,0.0,0.53,93.59,0.0,0.05,3.22,0.53,0.0,0.0,0.0,0.79,0.0,93.59,0.0,0.0,0.88,0.0,0.0,0.94,0.0,0.16,85.87,0.0,0.01,7.43,0.16,0.0,0.0,0.0,3.59,0.05,85.82,0.0,0.0,2.68,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.6,2.0,0.0,0.0,5.01,0.06,0.77,0.63,0.09,0.0,0.0,97.73,2.24,18.0,38.89,0.0,22.26,20.86,0.0,0.08,6.33,1.47,0.44,5.51,51.16,63.45,25.22,57.8,12.72,30.9,56.38,0.13,43.15,3275.9,3889,2744,3286,264.1,2744,0.465,0.473,31.1,0.864,0.503,-8.00595238095239
51.8,11,3.03,78.61,54.88,1.73,1.5,7.63,1.938,11.0,-5.54,1.57,-7.3,53.3,60,241.5,167.2,235,176,139.1,127,14.2,7.7,13,7,379.9,56.9,0.145,6.99,6.37,8.49,10.35,8.05,4.34,5.91,5.43,4.51,4.52,6.95,6.63,-8.52,-7.31,-4.96,-0.99,4.06,8.93,12.27,11.29,7.36,2.13,-4.54,-7.79,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.52,0.9948409286328461,0.9922613929492691,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0,0.0,0.79,3,1.11,0.6,3.14,0.13,64.0,0.8,0.7,9.43,6.9,75.63,5.39,0.45,0.0,0.0,0.0,18.52,3.1,6,0.116,11.4,0.07,71.08,0.0,0.03,10.35,0.07,0.0,0.0,0.0,5.97,0.31,70.77,0.0,0.05,12.27,0.0,0.0,0.19,0.0,0.21,81.06,0.0,0.0,12.95,0.21,0.0,0.0,0.0,3.8,0.13,80.94,0.0,0.38,1.22,0.0,0.0,0.38,0.0,0.06,74.66,0.0,0.12,9.12,0.06,0.0,0.0,0.0,6.37,0.45,74.21,0.0,0.2,9.11,0.0,0.0,0.36,0.0,0.31,92.95,0.0,0.0,3.59,0.31,0.0,0.0,0.0,1.12,0.54,92.41,0.0,0.18,1.21,0.0,0.0,0.63,0.0,0.09,84.22,0.0,0.04,6.02,0.09,0.0,0.0,0.0,3.5,0.41,83.81,0.0,0.06,5.81,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13.1,3.1,0.0,0.33,3.28,0.33,0.99,0.9,0.15,0.0,0.0,18.39,56.25,21.35,33.75,0.0,22.18,22.71,0.0,0.07,6.77,1.48,0.5,5.41,50.49,61.09,23.88,55.55,11.39,31.75,56.86,0.12,46.56,3185.0,3745,2651,3176,260.1,2651,0.488,0.48,25.1,0.267,-0.964,-14.519906323185008
12.4,5,2.4,96.75,68.39,0.77,1.9,6.47,1.869,9.8,-6.46,1.942,-3.4,54.6,54,239.8,173.5,239,170,144.0,135,14.8,8.0,13,7,359.6,57.3,0.181,8.73,8.06,10.86,13.29,9.95,4.63,6.42,5.81,4.88,5.25,8.92,8.58,-9.09,-7.98,-5.69,-1.73,3.3,8.24,11.56,10.65,6.71,1.46,-5.25,-8.35,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0,0.0,0.46,1,1.28,0.0,0.0,0.02,63.1,0.1,0.5,9.04,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3,0.242,0.9,0.0,48.33,0.0,0.0,14.94,0.0,0.0,0.0,0.0,24.01,0.0,48.33,0.0,0.0,12.4,0.0,0.0,0.33,0.0,0.0,69.58,0.0,0.0,15.24,0.0,0.0,0.0,0.0,0.35,0.0,69.58,0.0,0.0,12.25,0.0,0.0,2.58,0.0,0.0,64.76,0.0,0.0,13.98,0.0,0.0,0.0,0.0,12.53,0.0,64.76,0.0,0.0,8.19,0.0,0.0,0.54,0.0,0.0,69.58,0.0,0.0,15.24,0.0,0.0,0.0,0.0,0.35,0.0,69.58,0.0,0.0,12.25,0.0,0.0,2.58,0.0,0.0,64.76,0.0,0.0,13.98,0.0,0.0,0.0,0.0,12.53,0.0,64.76,0.0,0.0,8.19,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.3,3.7,0.0,0.0,0.0,0.0,0.24,0.17,0.01,0.0,0.0,69.59,26.45,18.24,41.45,0.0,24.2,16.11,0.0,0.09,7.07,1.43,0.61,5.47,51.53,63.55,26.55,57.7,15.39,30.41,54.2,0.14,52.78,3316.8,3916,2914,3301,254.7,2914,0.402,0.386,36.5,0.149,-0.989,-16.063340204988254
2041.9,19,1.86,69.1,36.63,1.36,2.4,8.43,2.287,11.7,-6.07,1.418,-6.4,56.3,56,232.9,181.2,233,177,131.6,114,13.1,7.5,11,7,376.8,55.4,0.116,6.44,5.69,6.97,7.95,7.25,4.12,5.08,4.89,4.29,4.55,6.09,5.8,-8.85,-7.62,-4.79,-0.42,4.7,9.38,12.67,11.72,7.71,2.57,-4.29,-8.13,12,0.59,351.92,348.57,6,0.29,0.9961306964746346,0.9709802235597592,0.9853826311263972,0.9660361134995701,9.97,0.993981083404987,0.9484092863284609,0.0,0.1,0.9780739466895959,0.9645313843508169,31.9,0.0,5.59,0,0.0,0.65,5,1.67,4.59,17.16,2.05,64.9,0.6,0.9,10.35,49.1,55.25,18.21,9.98,5.88,0.28,0.0,10.4,7.3,683,0.334,61.4,1.41,64.94,1.18,1.82,7.68,0.93,0.42,0.06,0.0,5.4,1.2,63.71,0.03,6.66,7.89,1.18,0.0,2.25,0.79,3.45,32.09,2.49,14.81,0.0,2.81,0.62,0.03,0.0,0.18,0.03,32.06,0.0,6.92,5.53,2.49,0.0,29.78,4.74,4.23,49.21,4.18,8.38,0.0,3.73,0.5,0.01,0.0,0.24,0.12,49.08,0.01,10.94,5.47,4.18,0.0,11.76,5.59,2.35,63.11,2.48,3.24,3.74,1.66,0.62,0.07,0.0,1.17,1.13,61.97,0.01,7.5,6.77,2.48,0.0,8.17,1.46,1.7,67.39,1.55,2.06,5.34,1.14,0.49,0.07,0.0,3.77,1.26,66.1,0.03,7.32,6.99,1.55,0.0,2.88,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,99.65,153.1,32.6,0.1,4.13,3.24,3.91,0.84,0.38,0.42,0.08,19.01,26.32,31.38,10.82,46.2,0.23,26.46,16.29,0.0,0.09,5.59,1.43,0.45,5.59,53.27,69.04,31.27,63.56,17.81,30.21,51.98,0.16,33.6,2978.3,4116,2371,2926,343.3,2391,0.348,0.318,24.9,0.517,-0.856,-14.634661381236723
91.5,10,2.96,72.7,55.79,0.33,1.8,6.47,1.717,11.0,-7.07,1.116,-7.3,56.4,56,235.2,182.4,237,177,138.6,125,14.2,7.9,13,7,347.5,63.8,0.108,6.67,5.97,7.38,8.29,7.54,4.53,6.01,5.4,4.82,4.56,6.02,5.58,-9.9,-8.69,-6.23,-2.05,3.09,7.71,11.04,10.07,6.36,0.89,-5.83,-9.21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.5,0.980438521066208,0.9787188306104901,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0,0.0,0.47,2,1.55,0.54,0.0,0.09,64.2,0.9,0.0,9.68,2.0,61.44,26.06,0.0,0.0,0.0,0.0,12.5,2.2,39,0.426,2.1,0.02,55.34,0.0,0.01,23.73,0.02,0.0,0.0,0.0,11.93,0.56,54.78,0.0,0.0,8.33,0.0,0.0,0.62,0.01,0.38,72.43,0.0,0.0,10.27,0.38,0.0,0.0,0.0,1.72,1.51,70.92,0.0,0.0,6.63,0.0,0.0,8.58,0.0,0.07,75.16,0.0,0.0,11.27,0.07,0.0,0.0,0.0,7.02,1.83,73.34,0.0,0.0,4.64,0.0,0.0,1.84,0.0,0.17,75.37,0.0,0.11,12.2,0.17,0.0,0.0,0.0,2.15,1.01,74.36,0.0,0.0,5.51,0.0,0.0,4.45,0.06,0.03,67.27,0.0,0.02,17.96,0.03,0.0,0.0,0.0,7.89,0.95,66.32,0.0,0.0,5.74,0.0,0.0,1.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.0,2.1,0.0,0.0,0.37,0.0,0.31,0.23,0.02,0.0,0.0,5.01,93.72,25.51,29.99,0.0,23.34,21.17,0.0,0.08,7.85,1.45,0.7,5.27,50.04,58.26,23.28,52.72,11.81,32.47,55.71,0.11,40.74,3386.6,4121,2727,3420,262.9,2732,0.473,0.497,37.1,0.747,-0.665,-21.75707547169811
22.9,5,3.23,72.84,55.79,0.87,1.8,6.77,1.431,11.0,-6.68,1.18,-7.3,56.5,56,236.5,178.7,237,177,134.5,125,14.1,7.5,13,7,359.8,59.8,0.117,6.71,6.04,7.51,8.48,7.37,4.37,5.91,5.24,4.58,4.44,6.15,5.84,-9.57,-8.38,-5.91,-1.71,3.43,8.06,11.4,10.44,6.68,1.27,-5.55,-8.88,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0,0.0,0.42,2,1.07,0.0,0.0,0.02,64.2,0.8,0.0,9.06,2.4,67.94,32.06,0.0,0.0,0.0,0.0,0.0,4.0,2,0.087,1.8,0.0,69.33,0.0,0.0,16.51,0.0,0.0,0.0,0.0,5.59,0.34,68.99,0.0,0.0,8.56,0.0,0.0,0.02,0.0,0.0,92.62,0.0,0.0,1.73,0.0,0.0,0.0,0.0,1.83,1.09,91.53,0.0,0.0,3.62,0.0,0.0,0.2,0.0,0.0,79.46,0.0,0.0,10.42,0.0,0.0,0.0,0.0,4.28,0.75,78.71,0.0,0.0,5.8,0.0,0.0,0.03,0.0,0.0,93.5,0.0,0.0,1.28,0.0,0.0,0.0,0.0,2.35,0.76,92.74,0.0,0.0,2.73,0.0,0.0,0.14,0.0,0.0,80.45,0.0,0.0,10.65,0.0,0.0,0.0,0.0,3.88,0.57,79.88,0.0,0.0,4.99,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.8,3.5,0.0,0.0,0.24,0.0,0.22,0.1,0.01,0.0,0.0,44.62,54.86,21.59,34.04,0.0,21.99,22.38,0.0,0.07,6.85,1.47,0.52,5.4,50.54,60.79,23.85,55.27,11.41,31.9,56.69,0.12,38.46,3330.9,3844,2728,3350,222.4,2728,0.54,0.557,31.8,-0.195,-0.981,-21.182081033382115
72.8,4,2.44,72.5,55.79,0.9,1.8,6.81,1.637,11.0,-6.91,1.142,-7.3,55.8,56,233.7,184.1,238,175,128.1,125,13.1,7.7,13,7,360.0,61.4,0.111,6.81,5.92,7.42,8.35,7.48,4.36,5.9,5.19,4.58,4.82,6.12,5.81,-9.7,-8.56,-5.98,-1.72,3.39,7.97,11.26,10.29,6.57,1.15,-5.7,-9.07,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0,0.0,0.62,2,1.38,0.0,0.0,0.08,66.6,1.0,0.0,9.5,3.7,73.17,26.83,0.0,0.0,0.0,0.0,0.0,2.6,32,0.439,1.8,0.0,57.46,0.0,0.0,21.27,0.0,0.0,0.0,0.0,9.76,0.24,57.22,0.0,0.01,11.26,0.0,0.0,0.23,0.0,0.0,80.82,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.79,0.25,80.57,0.0,0.17,6.41,0.0,0.0,3.42,0.0,0.0,80.61,0.0,0.0,8.48,0.0,0.0,0.0,0.0,4.71,0.65,79.96,0.0,0.04,5.52,0.0,0.0,0.63,0.0,0.0,81.54,0.0,0.0,8.47,0.0,0.0,0.0,0.0,2.93,0.1,81.44,0.0,0.07,5.59,0.0,0.0,1.4,0.0,0.0,68.34,0.0,0.0,16.09,0.0,0.0,0.0,0.0,6.09,0.31,68.04,0.0,0.02,9.16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,87.0,20.9,0.0,0.01,0.0,0.0,0.09,0.11,0.01,0.0,0.54,1.76,97.7,25.44,30.12,0.0,23.29,21.14,0.0,0.08,7.84,1.45,0.7,5.27,50.06,58.28,23.29,52.74,11.82,32.47,55.71,0.11,36.33,3353.2,4000,2735,3390,240.7,2732,0.489,0.518,35.7,0.721,0.693,-6.899180091467197
