,Importance
Hydraulic Gradient (Upstream to Downstream),0.018357988
Miscellaneous Land Use,0.018453054
Canals and Low-Order Flow Features,0.03550226
Mixed Forest and Soil Organic Matter,0.0413122
Woody Wetlands,0.043207772
Site Elevation and Air Temperature Variability,0.045302488
Low-Intensity Development and Road Density,0.046723723
Precipitation Patterns (Monthly & Annual),0.050161444
Elevation and Winter Precipitation Conditions,0.052112795
Stream Network Complexity and Dam Proximity,0.06564895
Baseflow Index and Aspect,0.073053494
Barren Lands and Steep Slopes,0.07485642
Soil Texture and Water Holding Capacity,0.075751364
Agricultural Land Use and Nutrient Inputs,0.07970029
"Water Bodies, Reservoirs, and Wetland Extent",0.09293896
Deciduous Forests and Freshwater Use,0.18691683
