,Importance
Average Clay Content (%),0.01585847
Mean Distance to All Major Dams,0.01791442
Hydrogeologic Setting C (%),0.018357988
Nitrogen Application Rate (kg/km²),0.018453054
Average Percent Passing #200 Sieve (soil texture),0.018604822
Woody Wetlands within 100m Riparian (%),0.01861346
Impervious Surface Area (%) NLCD06,0.019095518
August Precipitation (cm),0.020169877
Phosphorus Application Rate (kg/km²),0.020201506
Mean Annual Min Temperature (Site),0.020230481
Mixed Forest within 800m Mainstem (%),0.020387582
Average Soil Permeability,0.020395925
Average Silt Content (%),0.020892149
Mixed Forest within 100m Mainstem (%),0.020924617
Bedrock Contact Index,0.023422733
Barren Land within 100m Mainstem (%),0.024227694
Woody Wetlands (%) NLCD06,0.024594313
Std Dev Max Temperature (Basin),0.025072005
June Precipitation (cm),0.025766375
Snow Percentage of Precipitation,0.026346423
Road-Stream Intersection Density (#/km²),0.027628206
Deciduous Forest within 100m Mainstem (%),0.02861552
Deciduous Forest within 800m Mainstem (%),0.02921051
July Precipitation (cm),0.029991567
Open Water within 100m Mainstem (%),0.031440288
Distance to Nearest Canal,0.03550226
Percent 2nd Order Streams,0.03607605
Mainstem Sinuosity,0.047734533
Mean Aspect Northness,0.05062873
Open Water within 800m Mainstem (%),0.061498675
Deciduous Forest within 100m Riparian (%),0.061935738
Freshwater Withdrawal Rate,0.06715506
Average Baseflow Index,0.073053494
