,Importance
August Precipitation (cm),0.03780111
Mean Annual Min Temperature (Site),0.06299407
Deciduous Forest within 100m Riparian (%),0.070259556
Deciduous Forest within 100m Mainstem (%),0.07086104
Open Water within 800m Mainstem (%),0.0728268
Mean Aspect Northness,0.07863686
Impervious Surface Area (%) NLCD06,0.07954404
Average Silt Content (%),0.08149729
Developed Low Intensity within 100m Riparian (%),0.085335195
Average Soil Permeability,0.09240521
Freshwater Withdrawal Rate,0.10412355
Average Baseflow Index,0.16371527
